subscription_id,customer_id,plan_type,monthly_cost,subscription_start_date,subscription_end_date
d52ee02e-37d5-41b5-82b9-d74823e5e595,1,Premium,19.99,2024-09-12,2025-06-20
145ca4d4-17c0-40ff-b00e-416dd235ca5f,2,Basic,9.99,2024-04-19,
be282e98-8982-4fd6-a6e6-0443f384bba5,3,Standard,14.99,2024-11-08,
46c84d4a-388d-4e54-a1ff-55617e1a6a73,4,Basic,9.99,2024-09-20,2025-07-11
c21447e4-1e25-4486-a178-3eb17078ac94,5,Premium,19.99,2023-12-01,2025-04-13
a90ea889-f02a-41b4-b4e7-f98135c335cc,6,Standard,14.99,2024-10-13,2025-05-09
c16aa90d-14db-4d78-a070-9cc84d95692b,7,Premium,19.99,2024-05-27,
0ab9fdbd-fc28-4722-a306-275594b354a4,8,Premium,19.99,2024-04-23,
ca549427-4a57-4c7d-ae0d-d45352b6ff61,9,Standard,14.99,2023-12-29,
db62b9ba-ca9e-42eb-ba88-49d4d08780f7,10,Basic,9.99,2024-08-08,
cdeeed4e-dd6e-4a47-917d-a75bce27229f,11,Basic,9.99,2024-01-11,
f5840d99-e3fd-45b6-8e21-ffe6b2aafd19,12,Premium,19.99,2023-10-12,2025-06-05
c2346b7c-3c2e-4d14-9773-9108ab04bbc7,13,Standard,14.99,2024-12-18,
853b7429-d577-43cc-a6e1-ba31e8d6bef1,14,Premium,19.99,2024-08-05,2025-05-11
74c2b697-ae7d-4b61-9d57-ab8c5d38877c,15,Premium,19.99,2024-09-06,
97efad7a-6d1d-4801-8be2-ba2e9a3b981f,16,Basic,9.99,2024-01-10,
918c5e4e-58cf-4ad1-b88e-e76909b73073,17,Standard,14.99,2023-10-27,
9001f5fd-31b5-4c81-8dd4-faa38c592ee6,18,Standard,14.99,2024-07-09,2025-04-03
d61e94e1-05d3-4f58-bbf1-14f2749d5c65,19,Premium,19.99,2024-10-05,
a2fd9a38-0eb0-4e88-bfc1-1683db4e1b1c,20,Premium,19.99,2024-07-10,
59542f3f-dba6-48b9-841d-af0fee931ffe,21,Premium,19.99,2024-05-28,2025-05-13
8d90b1ad-98a9-45cd-a5a0-55a3ce422873,22,Basic,9.99,2023-09-11,2025-04-29
2cc28005-edd8-43c2-aa31-7f07c5451cc3,23,Standard,14.99,2024-11-21,
2eed2b1b-1b06-4cc2-853a-dd5191db68f8,24,Basic,9.99,2024-03-16,
eb6f78de-b8d7-4919-8077-da0690ed1a5c,25,Standard,14.99,2024-01-02,
668e87d7-d37d-43ed-8354-ee0bdc740b4d,26,Standard,14.99,2023-12-26,
d8011671-b74e-4494-97fb-f7e613b294aa,27,Basic,9.99,2024-06-13,
6633b793-0375-45e8-bfdc-56d1842cd575,28,Basic,9.99,2023-12-30,
b9dd5125-1bd2-4275-b6db-7e6dcc496253,29,Standard,14.99,2024-02-04,2025-05-11
122e5a15-0d0d-42ee-b147-41c366781e53,30,Premium,19.99,2025-02-06,2025-03-31
868d5e2b-c350-41a9-bab1-041192b70f57,31,Premium,19.99,2024-11-21,
938ffe91-7bcb-46d1-92d3-97c469c1a36c,32,Premium,19.99,2024-03-08,
5ac3babe-330e-4c0d-be42-0f8a1d3fe7fd,33,Premium,19.99,2023-10-18,
05b14dd2-22a3-4fe6-bf7b-bd31efc13b3a,34,Standard,14.99,2023-10-17,2025-04-06
833b5db7-942d-472e-bf02-e5664d7e1f2c,35,Premium,19.99,2024-03-15,
72a9c297-0859-4d32-8b61-f1ebebbd1087,36,Basic,9.99,2024-07-17,2025-07-09
c165d8bc-8d5c-4e10-beae-1d0e10f6d6ad,37,Standard,14.99,2023-09-11,
55866cfe-d6f7-468d-a731-f3d59f4dc2dc,38,Premium,19.99,2024-08-15,2025-06-20
583e83ee-cb7a-495d-a67a-f92b916f9db6,39,Standard,14.99,2024-06-19,
5de3488e-808d-444b-97e8-525a2b658b2a,40,Basic,9.99,2023-09-14,
b135602e-a99e-405e-a317-eed49b5882ce,41,Standard,14.99,2023-11-22,2025-06-18
528d571a-07c7-4478-922e-ea97c634860e,42,Standard,14.99,2024-08-17,
bf60fdf6-2e58-4749-9f48-1e20733182c4,43,Standard,14.99,2024-07-15,
166ebf28-7961-4d97-afa0-f322a361f8e7,44,Basic,9.99,2024-09-18,
c6b2662a-6dcc-4f9c-917b-20b8fa287e9f,45,Premium,19.99,2025-01-11,2025-05-05
c7c5e261-4a82-445d-bfac-21197fa8b9c4,46,Premium,19.99,2023-12-28,2025-05-20
99b818cf-8f95-4fa1-ae1e-da85841d1424,47,Standard,14.99,2024-10-30,
61386ccd-2c60-4534-b359-52cbe3310df4,48,Standard,14.99,2023-09-25,
d9bb523d-6780-41f5-8c79-c0087a0a8e70,49,Premium,19.99,2024-10-08,
5b01a021-2c68-45ff-bf1c-d0e5e0d78bbd,50,Basic,9.99,2024-03-03,
7722e11d-e39c-4405-b679-959292f3fcb7,51,Premium,19.99,2024-01-30,2025-05-18
8ac09fb1-7325-4a29-8818-a6824dff2c8c,52,Premium,19.99,2024-07-16,
7b4aa807-6864-477a-9bc1-673142a3dd78,53,Standard,14.99,2024-10-23,
8bf036d6-97ea-4c68-8519-b7a7adde16ed,54,Standard,14.99,2023-09-19,
