ticket_id,customer_id,ticket_date,issue_type,resolution_time_days,is_resolved
0,5339,2025-07-01,Technical,2,1
1,9966,2025-07-31,Account,12,0
2,3461,2024-12-01,Billing,3,1
3,6720,2025-02-04,Account,8,0
4,7375,2025-03-11,Account,3,1
5,8974,2025-06-29,Billing,3,1
6,4979,2024-10-21,Account,3,0
7,6921,2024-11-28,Technical,3,1
8,149,2025-02-04,Billing,4,1
9,7492,2024-12-22,Billing,1,1
10,5661,2024-08-28,Technical,11,1
11,1734,2025-02-07,Billing,5,1
12,1386,2024-10-19,Account,5,1
13,9518,2025-08-11,Billing,18,1
14,9444,2024-08-21,Billing,18,1
15,9328,2025-05-01,Account,12,1
16,7329,2025-01-03,Billing,3,1
17,9122,2024-12-04,Technical,12,0
18,6978,2024-08-27,Billing,13,1
19,4182,2025-07-18,Billing,2,0
20,8889,2025-04-25,Account,5,1
21,2988,2025-06-01,Content,2,1
22,8733,2024-10-28,Content,15,0
23,2535,2024-09-30,Billing,16,0
24,1889,2025-07-02,Billing,16,1
25,5548,2025-03-27,Billing,12,0
26,2726,2025-06-20,Billing,16,1
27,5973,2025-06-08,Account,7,1
28,8395,2025-06-03,Account,5,0
29,8698,2025-04-29,Account,5,0
30,618,2024-10-04,Account,7,0
31,8702,2025-04-15,Content,5,1
32,1825,2024-10-15,Technical,7,1
33,1045,2024-10-11,Technical,7,1
34,8286,2024-11-16,Technical,4,1
35,3120,2025-04-20,Technical,5,1
36,692,2025-08-19,Technical,13,1
37,4749,2025-01-10,Account,6,1
38,9607,2024-12-08,Content,11,0
39,6009,2025-02-24,Billing,9,1
40,3522,2025-02-03,Account,19,1
41,5621,2025-02-24,Account,5,1
42,5200,2024-11-06,Billing,1,1
43,5923,2025-04-05,Technical,3,1
44,998,2025-03-07,Content,4,1
45,6309,2024-12-09,Technical,3,1
46,7811,2024-10-01,Technical,2,0
47,8193,2024-09-11,Billing,4,1
48,7202,2025-02-01,Account,2,1
49,8877,2025-02-20,Content,3,1
50,7571,2024-11-22,Billing,5,1
51,2011,2024-08-26,Technical,1,0
52,5756,2025-04-26,Content,7,1
53,9615,2024-11-01,Account,6,1
54,5794,2025-01-01,Account,6,1
55,7849,2025-07-17,Billing,3,1
56,8883,2025-05-18,Technical,11,0
57,2980,2025-04-07,Content,5,1
58,2987,2025-02-09,Content,10,1
59,6134,2025-02-18,Billing,1,1
60,681,2025-06-04,Billing,4,1
61,1475,2024-11-28,Content,6,1
62,6185,2024-12-02,Technical,3,1
63,369,2024-10-13,Technical,1,1
64,153,2025-06-04,Billing,6,1
65,4813,2025-01-25,Account,9,1
66,6783,2024-08-28,Billing,7,1
67,6526,2025-05-27,Content,6,1
68,481,2024-11-20,Content,2,0
69,2446,2024-09-12,Content,3,1
70,7739,2025-02-05,Content,3,0
71,3572,2024-10-23,Account,13,1
72,3824,2025-02-18,Technical,7,1
73,6163,2025-05-08,Account,7,1
74,9780,2025-04-11,Account,18,0
75,6584,2024-11-16,Account,7,1
76,2981,2025-07-02,Content,3,1
77,6992,2025-07-01,Billing,7,1
78,2629,2025-06-22,Technical,12,0
79,4146,2025-06-17,Billing,7,1
80,4430,2025-04-06,Account,3,1
81,2452,2024-11-22,Billing,3,1
82,3949,2024-09-22,Billing,6,0
83,9058,2024-11-17,Account,6,1
84,3093,2025-06-21,Content,15,0
85,8161,2025-04-01,Billing,17,1
86,668,2025-07-26,Content,6,1
87,2839,2024-12-09,Technical,4,1
88,3120,2024-12-30,Content,2,1
89,954,2025-03-27,Billing,19,0
90,9723,2025-03-08,Content,6,1
91,3474,2025-04-09,Content,7,1
92,6320,2025-02-18,Account,7,1
93,3706,2025-07-12,Content,2,1
94,2470,2025-03-11,Account,9,0
95,2993,2024-09-15,Billing,7,1
96,3369,2024-10-30,Account,5,1
97,3725,2025-01-07,Content,6,1
98,1325,2025-07-11,Content,3,1
99,4413,2025-01-02,Billing,7,1
100,6997,2025-08-09,Technical,2,1
101,334,2024-11-29,Account,1,1
102,7108,2024-10-09,Technical,3,1
103,2088,2025-03-06,Account,13,1
104,1202,2025-04-04,Billing,3,1
105,128,2025-02-17,Content,5,0
106,9000,2024-11-10,Account,12,1
107,9179,2024-08-24,Account,7,1
108,350,2024-10-27,Account,3,1
109,2878,2025-07-05,Billing,1,1
110,8344,2025-01-11,Account,2,0
111,1252,2025-03-04,Content,1,1
112,2155,2025-05-06,Content,7,1
113,6205,2024-09-18,Content,7,1
114,973,2025-04-10,Account,7,1
115,3816,2025-06-24,Billing,5,0
116,8157,2024-12-05,Billing,4,1
117,4001,2024-11-24,Content,3,1
118,3285,2025-01-28,Content,5,1
119,4259,2024-12-08,Content,17,0
