customer_id,age,country,gender,is_churned,join_date,churn_date
1,54,Senegal,Male,1,12-09-2024,20-06-2025
2,59,Canada,Male,0,19-04-2024,
3,37,Latvia,Non-binary,0,08-11-2024,
4,20,Comoros,Male,1,20-09-2024,11-07-2025
5,61,Liechtenstein,Male,1,01-12-2023,13-04-2025
6,18,Djibouti,Male,1,13-10-2024,09-05-2025
7,28,Cocos (Keeling) Islands,Female,0,27-05-2024,
8,43,Armenia,Female,0,23-04-2024,
9,36,Australia,Male,0,29-12-2023,
10,27,Central African Republic,Female,0,08-08-2024,
11,27,Macao,Female,0,11-01-2024,
12,29,Egypt,Female,1,12-10-2023,05-06-2025
13,39,Jamaica,Male,0,18-12-2024,
14,39,Jersey,Female,1,05-08-2024,11-05-2025
15,34,Palestinian Territory,Male,0,06-09-2024,
16,60,United States of America,Female,0,10-01-2024,
17,62,Hungary,Non-binary,0,27-10-2023,
18,44,Brazil,Non-binary,1,09-07-2024,03-04-2025
19,41,Thailand,Female,0,05-10-2024,
20,49,Armenia,Non-binary,0,10-07-2024,
21,53,Turkey,Male,1,28-05-2024,13-05-2025
22,37,Guam,Non-binary,1,11-09-2023,29-04-2025
23,19,Saint Pierre and Miquelon,Non-binary,0,21-11-2024,
24,33,Latvia,Female,0,16-03-2024,
25,64,Hungary,Non-binary,0,02-01-2024,
26,23,Niue,Non-binary,0,26-12-2023,
27,29,Burundi,Male,0,13-06-2024,
28,38,Mauritania,Non-binary,0,30-12-2023,
29,35,Belarus,Female,1,04-02-2024,11-05-2025
30,57,Guinea,Female,1,06-02-2025,31-03-2025
31,48,Sao Tome and Principe,Non-binary,0,21-11-2024,
32,27,Tajikistan,Female,0,08-03-2024,
33,43,Australia,Non-binary,0,18-10-2023,
34,40,Palestinian Territory,Non-binary,1,17-10-2023,06-04-2025
35,33,Turkey,Male,0,15-03-2024,
36,61,Liberia,Non-binary,1,17-07-2024,09-07-2025
37,25,Cyprus,Non-binary,0,11-09-2023,
38,60,Indonesia,Male,1,15-08-2024,20-06-2025
39,39,Kiribati,Non-binary,0,19-06-2024,
40,46,Ethiopia,Female,0,14-09-2023,
41,34,Northern Mariana Islands,Non-binary,1,22-11-2023,18-06-2025
42,20,Montenegro,Male,0,17-08-2024,
43,52,Cocos (Keeling) Islands,Male,0,15-07-2024,
44,56,Iceland,Female,0,18-09-2024,
45,58,Angola,Non-binary,1,11-01-2025,05-05-2025
46,33,Hong Kong,Female,1,28-12-2023,20-05-2025
47,54,Palau,Non-binary,0,30-10-2024,
48,45,Costa Rica,Non-binary,0,25-09-2023,
49,,Gibraltar,Male,0,08-10-2024,
50,41,Holy See (Vatican City State),Non-binary,0,03-03-2024,
51,31,Cambodia,Male,1,30-01-2024,18-05-2025
52,42,Colombia,Non-binary,0,16-07-2024,
53,44,Chad,Female,0,23-10-2024,
54,24,Latvia,Female,0,19-09-2023,
55,40,Turks and Caicos Islands,Female,1,20-01-2025,06-05-2025
56,19,Hong Kong,Female,0,14-09-2023,
57,30,Jersey,Female,0,15-06-2024,
58,52,Italy,Non-binary,0,28-08-2024,
59,24,Argentina,Non-binary,0,03-12-2024,
60,39,Guadeloupe,Male,0,21-01-2025,
61,53,Saint Vincent and the Grenadines,Female,0,25-11-2023,
62,43,Isle of Man,Female,0,02-04-2024,
63,42,Palau,Female,0,04-09-2023,
64,51,Fiji,Female,0,25-10-2023,
65,23,Kuwait,Female,0,14-08-2024,
66,45,Panama,Non-binary,0,13-12-2023,
67,58,Haiti,Male,0,11-07-2024,
68,27,Syrian Arab Republic,Non-binary,0,18-10-2023,
69,20,Guadeloupe,Female,0,12-02-2025,
70,54,India,Male,0,11-10-2024,
71,62,Afghanistan,Male,0,30-08-2023,
72,23,Congo,Male,0,08-03-2024,
73,64,United Arab Emirates,Non-binary,1,18-02-2024,01-04-2025
74,52,Guatemala,Non-binary,0,30-11-2023,
75,53,Madagascar,Non-binary,0,26-09-2023,
76,45,Cote d'Ivoire,Male,1,18-05-2024,14-07-2025
77,33,Kiribati,Male,0,19-06-2024,
78,63,Australia,Male,1,21-09-2024,09-07-2025
79,57,Saudi Arabia,Male,1,03-11-2023,21-04-2025
80,38,United States of America,Male,0,13-03-2024,
81,39,Western Sahara,Non-binary,0,27-01-2025,
82,56,Luxembourg,Male,0,06-12-2023,
83,40,Trinidad and Tobago,Male,0,02-11-2023,
84,52,Montenegro,Female,0,01-09-2024,
85,59,Cuba,Female,0,15-09-2024,
86,30,Myanmar,Non-binary,0,01-01-2024,
87,51,Greenland,Non-binary,0,18-07-2024,
88,30,Bosnia and Herzegovina,Female,1,27-08-2024,20-06-2025
89,28,French Southern Territories,Female,0,08-03-2024,
90,41,Saint Pierre and Miquelon,Female,0,20-12-2024,
91,59,Congo,Non-binary,0,01-09-2024,
92,48,Mozambique,Male,0,07-09-2024,
93,38,Argentina,Non-binary,0,27-03-2024,
94,31,Sierra Leone,Female,0,10-12-2023,
95,38,Egypt,Male,0,25-01-2024,
96,64,Gambia,Male,0,24-05-2024,
97,19,Iraq,Male,0,03-01-2025,
98,34,Brazil,Non-binary,0,26-09-2023,
99,62,Micronesia,Non-binary,0,24-11-2024,
100,,Eritrea,Non-binary,0,30-01-2025,
101,64,Bouvet Island (Bouvetoya),Non-binary,0,02-02-2025,
102,34,Reunion,Non-binary,0,07-08-2024,
103,18,Algeria,Male,0,22-01-2024,
104,50,Sao Tome and Principe,Female,0,15-05-2024,
105,55,Kenya,Female,0,11-06-2024,
106,45,Cape Verde,Non-binary,0,18-08-2024,
107,40,China,Non-binary,0,05-12-2024,
108,27,Singapore,Male,0,11-10-2024,
109,42,Liberia,Female,0,08-10-2024,
110,46,British Virgin Islands,Female,0,06-11-2023,
111,46,Saint Pierre and Miquelon,Female,0,03-08-2024,
112,52,Sudan,Female,0,05-10-2024,
113,43,Kazakhstan,Male,1,20-11-2023,31-03-2025
114,64,Ireland,Male,0,12-09-2024,
115,40,Iraq,Female,1,25-01-2025,11-05-2025
116,19,Ethiopia,Female,0,27-02-2024,
117,27,Cote d'Ivoire,Male,0,11-01-2024,
118,47,Equatorial Guinea,Male,0,12-02-2025,
119,21,Saudi Arabia,Female,1,30-04-2024,17-06-2025
120,19,Norfolk Island,Female,0,28-12-2023,
121,57,Nauru,Non-binary,0,17-02-2024,
122,34,French Southern Territories,Non-binary,0,17-07-2024,
123,61,Guatemala,Male,0,31-03-2024,
124,35,French Polynesia,Non-binary,1,25-11-2023,21-06-2025
125,53,Saint Kitts and Nevis,Male,0,14-06-2024,
126,34,Micronesia,Non-binary,0,21-06-2024,
127,33,Montserrat,Non-binary,1,13-02-2024,19-04-2025
128,38,El Salvador,Female,1,02-12-2024,27-04-2025
129,24,Guyana,Non-binary,1,27-04-2024,07-04-2025
130,60,Sierra Leone,Female,0,06-08-2024,
131,35,Guinea,Female,0,10-07-2024,
132,58,Andorra,Female,1,28-05-2024,08-05-2025
133,52,Botswana,Female,0,14-04-2024,
134,24,Iceland,Male,0,02-01-2025,
135,46,Nauru,Non-binary,0,16-11-2023,
136,38,Isle of Man,Male,0,08-09-2024,
137,63,Congo,Female,0,26-11-2024,
138,56,Fiji,Female,1,26-06-2024,03-06-2025
139,41,Kiribati,Non-binary,0,29-09-2023,
140,45,Tuvalu,Female,0,09-09-2023,
141,61,Costa Rica,Female,1,01-12-2024,09-07-2025
142,37,Lebanon,Male,0,12-11-2023,
143,63,Antarctica (the territory South of 60 deg S),Non-binary,0,17-09-2024,
144,35,Fiji,Female,0,05-08-2024,
145,54,Saint Martin,Male,0,20-01-2025,
146,42,Christmas Island,Female,0,11-01-2024,
147,48,Isle of Man,Male,0,24-10-2023,
148,26,Guyana,Female,0,08-05-2024,
149,49,Ethiopia,Female,0,18-12-2023,
150,61,Bangladesh,Female,1,16-04-2024,02-07-2025
151,44,Mozambique,Male,0,26-05-2024,
152,46,Sao Tome and Principe,Male,0,19-08-2024,
153,54,Peru,Non-binary,0,08-04-2024,
154,54,Egypt,Non-binary,1,31-05-2024,09-05-2025
155,36,Bolivia,Female,0,27-11-2024,
156,57,Monaco,Female,0,01-12-2023,
157,32,Nepal,Male,1,09-02-2024,04-05-2025
158,23,Macao,Male,0,30-01-2024,
159,47,Fiji,Male,1,27-06-2024,08-05-2025
160,20,Indonesia,Non-binary,0,14-09-2024,
161,41,Denmark,Male,0,31-08-2023,
162,47,Grenada,Non-binary,1,04-05-2024,01-05-2025
163,52,Heard Island and McDonald Islands,Female,0,13-02-2024,
164,23,Costa Rica,Male,0,21-10-2024,
165,64,Suriname,Female,0,03-06-2024,
166,46,Timor-Leste,Non-binary,1,24-03-2024,19-05-2025
167,22,Philippines,Female,0,15-05-2024,
168,49,Saudi Arabia,Male,0,04-09-2024,
169,32,Gibraltar,Non-binary,0,17-09-2024,
170,46,United States of America,Male,0,08-10-2024,
171,20,Western Sahara,Female,0,20-06-2024,
172,63,Marshall Islands,Non-binary,0,04-07-2024,
173,20,Niue,Non-binary,0,26-12-2024,
174,57,Tunisia,Male,0,04-01-2025,
175,24,Trinidad and Tobago,Male,0,29-05-2024,
176,50,Vanuatu,Female,0,22-08-2024,
177,41,Cote d'Ivoire,Male,1,28-06-2024,25-06-2025
178,62,Kyrgyz Republic,Non-binary,0,24-11-2023,
179,28,Lithuania,Non-binary,1,02-12-2024,21-06-2025
180,,Micronesia,Male,0,11-11-2023,
181,42,Cambodia,Non-binary,0,04-02-2024,
182,45,Venezuela,Non-binary,0,26-06-2024,
183,42,Bangladesh,Male,1,30-01-2025,19-06-2025
184,41,Bangladesh,Female,0,08-02-2025,
185,37,Solomon Islands,Non-binary,1,31-10-2024,31-05-2025
186,60,Greenland,Male,1,13-10-2023,17-05-2025
187,22,Syrian Arab Republic,Male,0,02-12-2023,
188,61,Marshall Islands,Non-binary,0,14-01-2025,
189,60,Korea,Female,0,10-02-2024,
190,48,United States of America,Female,0,17-10-2024,
191,29,Pitcairn Islands,Non-binary,0,16-12-2024,
192,51,Lesotho,Male,0,14-10-2023,
193,53,Tunisia,Male,0,25-11-2023,
194,61,Malawi,Male,0,28-09-2023,
195,28,Colombia,Male,0,21-09-2023,
196,23,Serbia,Non-binary,1,13-12-2023,06-04-2025
197,63,Northern Mariana Islands,Female,1,05-09-2024,18-04-2025
198,39,Saint Barthelemy,Male,0,27-09-2024,
199,28,Bosnia and Herzegovina,Male,0,28-10-2023,
200,52,North Macedonia,Non-binary,0,30-11-2024,
201,29,Cote d'Ivoire,Male,1,09-05-2024,22-04-2025
202,43,China,Non-binary,0,27-09-2024,
203,22,Gibraltar,Female,0,13-08-2024,
204,35,Western Sahara,Non-binary,0,29-03-2024,
205,43,Marshall Islands,Female,0,22-01-2025,
206,45,British Virgin Islands,Non-binary,0,26-09-2024,
207,33,Reunion,Male,0,22-05-2024,
208,53,Hong Kong,Male,0,29-05-2024,
