usage_id,customer_id,minutes_watched,genre,device
0,9326,424,Comedy,Tablet
1,8129,168,Comedy,Tablet
2,5846,169,Comedy,Mobile
3,8898,254,Sci-Fi,Mobile
4,7845,437,Drama,Mobile
5,898,25,Documentary,Tablet
6,7627,377,Sci-Fi,Mobile
7,4791,36,Action,Tablet
8,5113,104,Action,Laptop
9,1605,257,Comedy,Mobile
10,2591,369,Comedy,Laptop
11,2086,33,Comedy,Tablet
12,6269,13,Documentary,Laptop
13,3257,405,Sci-Fi,Smart TV
14,138,53,Comedy,Smart TV
15,8542,173,Sci-Fi,Laptop
16,2995,144,Comedy,Tablet
17,9897,328,Action,Smart TV
18,1473,294,Sci-Fi,Mobile
19,622,316,Action,Mobile
20,5982,143,Comedy,Mobile
21,4506,452,Comedy,Mobile
22,804,266,Drama,Smart TV
23,6040,151,Documentary,Laptop
24,8998,24,Action,Laptop
25,1712,407,Documentary,Laptop
26,3555,204,Action,Tablet
27,3621,37,Sci-Fi,Tablet
28,694,259,Action,Laptop
29,1723,306,Action,Tablet
30,8454,152,Sci-Fi,Mobile
31,4177,162,Documentary,Tablet
32,7862,220,Sci-Fi,Laptop
33,1920,450,Comedy,Smart TV
34,1183,420,Comedy,Mobile
35,7788,373,Drama,Mobile
36,9024,45,Documentary,Smart TV
37,5066,169,Sci-Fi,Laptop
38,3950,48,Action,Tablet
39,3641,475,Comedy,Smart TV
40,9762,382,Documentary,Smart TV
41,5273,491,Comedy,Smart TV
42,5431,215,Documentary,Mobile
43,812,246,Documentary,Smart TV
44,4423,132,Comedy,Smart TV
45,2417,367,Comedy,Laptop
46,5596,495,Action,Laptop
47,8843,362,Documentary,Mobile
48,1846,38,Documentary,Tablet
49,612,325,Comedy,Smart TV
50,9225,366,Documentary,Laptop
51,7500,344,Sci-Fi,Mobile
52,9762,320,Documentary,Laptop
53,4139,115,Documentary,Tablet
54,1205,192,Drama,Mobile
55,74,108,Drama,Smart TV
56,1361,173,Comedy,Tablet
57,2354,202,Documentary,Smart TV
58,8040,390,Drama,Tablet
59,6147,92,Action,Tablet
60,5976,372,Documentary,Mobile
61,2067,122,Comedy,Tablet
62,3990,351,Comedy,Mobile
63,9962,324,Comedy,Laptop
64,8970,172,Documentary,Tablet
65,571,91,Action,Laptop
66,1991,315,Comedy,Tablet
67,6438,89,Drama,Laptop
68,288,362,Sci-Fi,Smart TV
69,4988,196,Sci-Fi,Mobile
70,7945,299,Sci-Fi,Mobile
